-1973-10-20.109
-1973-11-18.829
-1973-12-18.623
-1972-01-17.424
-1972-02-16.158
-1972-03-16.720
-1972-04-15.256
-1972-05-14.648
-1972-06-12.986
-1972-07-12.312
-1972-08-10.655
-1972-09-09.038
