-1694-09-17
-1693-01-13
-1693-08-06
-1693-09-05
-1693-10-05
-1691-09-13
-1691-10-12
-1689-01-28
-1689-11-18
-1688-08-11
-1686-04-23
-1685-09-06
-1682-01-11
-1680-04-17
