-1948-10-13.3746
-1948-11-12.2236
-1948-12-12.0116
-1947-01-10.7016
-1947-02-09.2826
-1947-03-10.7386
-1947-04-09.0956
-1947-05-08.3856
-1947-06-06.6486
-1947-07-05.9476
-1947-08-04.3296
-1947-09-02.8296
