-1693-09-17
-1692-01-13
-1692-08-06
-1692-09-05
-1692-10-05
-1690-09-13
-1690-10-12
-1688-01-28
-1688-11-18
-1687-08-11
-1685-04-23
-1684-09-06
-1681-01-11
-1679-04-17
