-1948-10-13.333
-1948-11-12.182
-1948-12-11.970
-1947-01-10.660
-1947-02-09.241
-1947-03-10.697
-1947-04-09.054
-1947-05-08.344
-1947-06-06.607
-1947-07-05.906
-1947-08-04.288
-1947-09-02.788
